spot_id,name_ja,name_en,prefecture_ja,prefecture_en,pref_id
castle-47-1981,船越城,,沖縄県,Okinawa,47
castle-47-1982,志喜屋城,,沖縄県,Okinawa,47
castle-47-1983,知名城,,沖縄県,Okinawa,47
castle-47-1985,島添大里城（大里城）,,沖縄県,Okinawa,47
castle-47-1986,今帰仁城,,沖縄県,Okinawa,47
castle-47-1987,羽地城,,沖縄県,Okinawa,47
castle-47-1988,親城,,沖縄県,Okinawa,47
castle-47-1989,久志城,,沖縄県,Okinawa,47
castle-47-1990,金武城,,沖縄県,Okinawa,47
castle-47-1991,名護城,,沖縄県,Okinawa,47
castle-47-1992,親川城,,沖縄県,Okinawa,47
castle-47-1993,屋我城,,沖縄県,Okinawa,47
castle-47-1994,陣城,,沖縄県,Okinawa,47
castle-47-1995,津波城,,沖縄県,Okinawa,47
castle-47-1996,根謝銘城,,沖縄県,Okinawa,47
castle-47-1997,奥間城,,沖縄県,Okinawa,47
castle-47-1998,田名城,,沖縄県,Okinawa,47
castle-47-1999,椎名城,,沖縄県,Okinawa,47
castle-47-2000,伊是名城,,沖縄県,Okinawa,47
castle-47-2001,天城城,,沖縄県,Okinawa,47
castle-47-2002,伊敷索城,,沖縄県,Okinawa,47
castle-47-2004,宇江城城,,沖縄県,Okinawa,47
castle-47-2005,登武那覇城,,沖縄県,Okinawa,47
castle-47-2006,クニ城,,沖縄県,Okinawa,47
castle-47-2007,ウニシ城,,沖縄県,Okinawa,47
castle-47-2008,塩原城,,沖縄県,Okinawa,47
castle-47-2009,与那嶺城,,沖縄県,Okinawa,47
castle-47-2010,高腰城,,沖縄県,Okinawa,47
castle-47-2011,西銘城,,沖縄県,Okinawa,47
castle-47-2012,上のつづ城,,沖縄県,Okinawa,47
castle-47-2013,保里城,,沖縄県,Okinawa,47
castle-47-2014,飛鳥城,,沖縄県,Okinawa,47
castle-47-2015,大浦多志城,,沖縄県,Okinawa,47
castle-47-2016,大嶽城,,沖縄県,Okinawa,47
castle-47-2017,汀間嘉城,,沖縄県,Okinawa,47
castle-47-2018,喜佐真城,,沖縄県,Okinawa,47
castle-47-2019,久場嘉城,,沖縄県,Okinawa,47
castle-47-2020,上比屋城,,沖縄県,Okinawa,47
castle-47-2021,下田原城,,沖縄県,Okinawa,47
castle-47-2022,石スク山城,,沖縄県,Okinawa,47
castle-47-2023,富崎ガバネ城,,沖縄県,Okinawa,47
castle-47-2024,川平城,,沖縄県,Okinawa,47
castle-47-2025,蔚山城,,沖縄県,Okinawa,47
castle-47-2026,西生浦城,,沖縄県,Okinawa,47
castle-47-2027,林浪浦城,,沖縄県,Okinawa,47
castle-47-2028,機張城,,沖縄県,Okinawa,47
castle-47-2029,東萊城,,沖縄県,Okinawa,47
castle-47-2030,釜山城,,沖縄県,Okinawa,47
castle-47-2031,釜山支城,,沖縄県,Okinawa,47
castle-47-2032,亀浦城,,沖縄県,Okinawa,47
