spot_id,name_ja,name_en,prefecture_ja,prefecture_en,pref_id
castle-42-1777,金石城 (厳原城 / 府中城),Kaneishi Castle (Izuhara Castle / Fuchu Castle),長崎県,Nagasaki,42
castle-42-1779,勝本城,Katsumoto Castle,長崎県,Nagasaki,42
castle-42-1780,石田城,Ishida Castle,長崎県,Nagasaki,42
castle-42-1781,勘次ヶ城,Kanjigajo Castle,長崎県,Nagasaki,42
castle-42-1782,高津城,Takatsu Castle,長崎県,Nagasaki,42
castle-42-1783,風早城,Kazahaya Castle,長崎県,Nagasaki,42
castle-42-1784,樋詰城,Hizume Castle,長崎県,Nagasaki,42
castle-42-1785,生池城,Ike Castle,長崎県,Nagasaki,42
castle-42-1786,船匿城,Funakakushijo Castle,長崎県,Nagasaki,42
castle-42-1787,郡城,Kori Castle,長崎県,Nagasaki,42
castle-42-1788,鶴翔城,Kakushojo Castle,長崎県,Nagasaki,42
castle-42-1789,覩城,Tojo Castle,長崎県,Nagasaki,42
castle-42-1790,鉢形城,Hachigata Castle,長崎県,Nagasaki,42
castle-42-1791,中浦城,Nakaura Castle,長崎県,Nagasaki,42
castle-42-1792,亀尾城,Kameojo Castle,長崎県,Nagasaki,42
castle-42-1793,富江陣屋,Tomie Jinya,長崎県,Nagasaki,42
castle-42-1795,深堀陣屋,Fukahori Jinya,長崎県,Nagasaki,42
castle-43-1796,熊本城 (銀杏城),Kumamoto Castle (Ginkojo),熊本県,Kumamoto,43
castle-43-1797,隈本城,Kumamoto Castle,熊本県,Kumamoto,43
castle-43-1798,千葉城,Chiba Castle,熊本県,Kumamoto,43
castle-43-1799,宇土城,Uto Castle,熊本県,Kumamoto,43
castle-43-1800,田中城,Tanaka Castle,熊本県,Kumamoto,43
castle-43-1801,岩尾城,Iwao Castle,熊本県,Kumamoto,43
castle-43-1802,鞠智城,Kikuchi Castle,熊本県,Kumamoto,43
castle-43-1803,菊池城,Kikuchi Castle,熊本県,Kumamoto,43
castle-43-1804,鍋城,Nabe Castle,熊本県,Kumamoto,43
castle-43-1805,佐敷城,Sashiki Castle,熊本県,Kumamoto,43
castle-43-1806,山鹿城,Yamaga Castle,熊本県,Kumamoto,43
castle-43-1807,木山城,Kiyama Castle,熊本県,Kumamoto,43
castle-43-1808,山田城,Yamada Castle,熊本県,Kumamoto,43
castle-43-1809,人吉城,Hitoyoshi Castle,熊本県,Kumamoto,43
castle-43-1810,古麓城 (八代城 / 飯盛城 / 鷹峯城),Fumoto Castle (Yatsushiro Castle / Iimorijo / Takaminejo),熊本県,Kumamoto,43
castle-43-1811,麦島城 (八代城),Mugishima Castle (Yatsushiro Castle),熊本県,Kumamoto,43
castle-43-1812,八代城 (松江城),Yatsushiro Castle (Matsue Castle),熊本県,Kumamoto,43
castle-43-1813,水俣城,Minamata Castle,熊本県,Kumamoto,43
castle-43-1814,本渡城,Hondo Castle,熊本県,Kumamoto,43
castle-43-1815,富岡城,Tomioka Castle,熊本県,Kumamoto,43
castle-43-1816,竹迫城,Takesako Castle,熊本県,Kumamoto,43
castle-43-1817,南関城,Nankan Castle,熊本県,Kumamoto,43
castle-43-1818,御船城,Mifune Castle,熊本県,Kumamoto,43
castle-43-1819,堅志田城,Katashida Castle,熊本県,Kumamoto,43
castle-44-1820,中津城 (扇城),Nakatsu Castle (Oginojo),大分県,Oita,44
castle-44-1821,長岩城,Nagaiwa Castle,大分県,Oita,44
castle-44-1822,時枝城,Tokieda Castle,大分県,Oita,44
castle-44-1823,妙見嶽城,Myoken-dake Castle,大分県,Oita,44
castle-44-1824,光岡城,Mitsuoka Castle,大分県,Oita,44
castle-44-1825,龍王城,Ryuo Castle,大分県,Oita,44
castle-44-1826,高田城,Takada Castle,大分県,Oita,44
castle-44-1827,真玉城,Matama Castle,大分県,Oita,44
castle-44-1828,杵築城,Kitsuki Castle,大分県,Oita,44
