spot_id,name_ja,name_en,prefecture_ja,prefecture_en,pref_id
castle-28-1224,淡河城,,兵庫県,Hyogo,28
castle-28-1225,加古川城,,兵庫県,Hyogo,28
castle-28-1226,志方城,,兵庫県,Hyogo,28
castle-28-1227,上月城,,兵庫県,Hyogo,28
castle-28-1228,白旗城,,兵庫県,Hyogo,28
castle-28-1229,御着城,,兵庫県,Hyogo,28
castle-28-1230,龍野城,,兵庫県,Hyogo,28
castle-28-1231,利神城,,兵庫県,Hyogo,28
castle-28-1232,波賀城,,兵庫県,Hyogo,28
castle-28-1233,枝吉城,,兵庫県,Hyogo,28
castle-28-1234,赤穂城,,兵庫県,Hyogo,28
castle-28-1235,神吉城,,兵庫県,Hyogo,28
castle-28-1236,光明寺城,,兵庫県,Hyogo,28
castle-28-1237,小谷城,,兵庫県,Hyogo,28
castle-28-1238,感状山城,,兵庫県,Hyogo,28
castle-28-1239,大嶋城,,兵庫県,Hyogo,28
castle-28-1241,山崎城,,兵庫県,Hyogo,28
castle-28-1242,中道子山城,,兵庫県,Hyogo,28
castle-28-1243,豊地城,,兵庫県,Hyogo,28
castle-28-1244,善防山城,,兵庫県,Hyogo,28
castle-28-1245,船上城,,兵庫県,Hyogo,28
castle-28-1246,満久城,,兵庫県,Hyogo,28
castle-28-1247,妙見山城,,兵庫県,Hyogo,28
castle-28-1248,洲本城,,兵庫県,Hyogo,28
castle-29-1249,高取城,,奈良県,Nara,29
castle-29-1250,多聞山城,,奈良県,Nara,29
castle-29-1251,柳生城,,奈良県,Nara,29
castle-29-1252,五条二見城,,奈良県,Nara,29
castle-29-1253,信貴山城,,奈良県,Nara,29
castle-29-1254,龍王山城,,奈良県,Nara,29
castle-29-1255,二上山城,,奈良県,Nara,29
castle-29-1256,山田城,,奈良県,Nara,29
castle-29-1257,上庄北城,,奈良県,Nara,29
castle-29-1258,郡山城,,奈良県,Nara,29
castle-29-1259,高山城,,奈良県,Nara,29
castle-29-1260,宇陀松山城,,奈良県,Nara,29
castle-29-1261,筒井城,,奈良県,Nara,29
castle-29-1262,小泉城,,奈良県,Nara,29
castle-29-1263,片岡城,,奈良県,Nara,29
castle-29-1264,辰市城,,奈良県,Nara,29
castle-29-1265,福住中定城,,奈良県,Nara,29
castle-29-1266,椿井城,,奈良県,Nara,29
castle-29-1267,十市城,,奈良県,Nara,29
castle-29-1268,宿院城,,奈良県,Nara,29
castle-29-1269,森屋城,,奈良県,Nara,29
castle-29-1270,佐紀城,,奈良県,Nara,29
castle-29-1271,超昇寺城,,奈良県,Nara,29
castle-30-1272,和歌山城,,和歌山県,Wakayama,30
castle-30-1273,新宮城（丹鶴城・沖見城）,,和歌山県,Wakayama,30
castle-30-1274,太田城,,和歌山県,Wakayama,30
